title,description,source,url
نامشخص,بدون توضیح,faradars,https://faradars.org/courses/fv3dm9502-rendering-and-lighting-using-mental-ray-in-3ds-max
نامشخص,بدون توضیح,faradars,https://faradars.org/courses/application-of-python-in-chemical-engineering-fvche345
نامشخص,بدون توضیح,faradars,https://faradars.org/courses/fixing-plagiarism-through-paraphrasing-fvacw311
نامشخص,بدون توضیح,faradars,https://faradars.org/courses/advanced-level-design-in-catia-supplementary-fvmec150
نامشخص,بدون توضیح,faradars,https://faradars.org/courses/mvrps9011-particle-swarm-optimization-video-tutorials-pack
آموزش HTML رایگان مقدماتی تا پیشرفته,"دوره آموزش HTML سبزلرن با هدف انکه شما بتوانید وارد بازار کار بشوید منتشر شده , شما با این دوره HTML رایگان میتوانید صفحات وب ساده ای را ایجاد کنید .",sabzlearn,https://sabzlearn.ir/course/html-tutorial/
آموزش Css رایگان مقدماتی تا پیشرفته,حالا وقتشه که با دوره آموزش CSS به اسکلتی که با html ساختی پوست و گوشت بدی تا تبدیل به یه موجود زیبا بشه. توی دوره مقدماتی تا پیشرفته Css یاد میگیری چطوری به المانای خشک و بی جون HTML زیبایی ببخشی. اینجا ما از رنگی کردن متن و دکمه ها میگیم تا پیاده سازی یه لندینگ پیج خفن و دلنشین با css. کاملا رایگان! بهت تضمین میدم محتوای این دوره به حدی شیرینه که بعد از این دوره استایل اطرافیانتو به صورت کد css میبینی نکته: اگه HTML رو هنوز یاد نگرفتی برگرد کامل یادش بگیر چون لازمه css اینه که با html آشنا باشی.,sabzlearn,https://sabzlearn.ir/course/css-tutorial/
آموزش FlexBox پروژه محور + پروژه سایت هاستینگ,اگر شما به حوزه طراحی و برنامه نویسی وب علاقه داشته باشید قطعا در مورد صفحه آرایی، ریسپانسیو سازی، فلکس باکس و ... شنیده اید. در این دوره قصد داریم ماژول فلکس باکس را به صورت پروژه محور و از صفر تا صد به شما آموزش دهیم.,sabzlearn,https://sabzlearn.ir/course/flex-box/
آموزش پروژه محور CSS Grid + پروژه لندینگ رستوران,Css grid یک ماژول مربوط به css است . کارکردن با این ماژول بسیار جذاب است و با امکانات و پراپرتی هایی که در اختیار ما قرار میدهد نه تنها مشکلات گذشته در طراحی و ریسپانسیو را نخواهیم داشت بلکه میتوانیم خیلی راحت تر از قبل کد بزنیم و لذت ببریم. پس یادتان باشد با کمک css grid میتوانیم صفحات وب سایت خود را به آسانی پیاده سازی کنیم.,sabzlearn,https://sabzlearn.ir/course/css-grid/
مینی پروژه های تخصصی با Html، Css + دیزاین اختصاصی,عنوان دوره گویای همه چی هست اما نیازه برخی موارد گفته بشه تا بتونید با دید بهتری تو این دوره شرکت کنید و هدف دوره رو بهتر بتونید درک کنید. افراد بعد از یادگیری Css نیازه که مینی پروژه های مختلفی رو بزنن و تا بتونن با مهارت های خامی که با […],sabzlearn,https://sabzlearn.ir/course/ex-project-with-css/
